Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100)
84,30,36,7,3,72
91,24,38,6,3,56
73,29,26,7,3,56
80,36,35,7,3,74
84,31,37,8,3,66
100,34,34,7,3,79
96,40,36,8,3,83
83,39,37,7,3,77
91,30,37,8,2,71
87,27,37,8,3,61
77,34,25,7,2,54
78,26,28,6,3,53
77,27,29,7,3,53
84,28,34,9,3,55
86,38,33,8,3,65
71,28,29,7,3,53
94,34,36,8,3,75
85,29,36,7,2,69
84,36,34,8,3,74
82,35,29,7,3,66
98,40,40,9,4,92
83,27,35,7,2,52
84,26,35,8,3,54
91,35,32,7,3,67
85,35,26,6,3,52
91,37,37,8,2,77
86,39,30,7,3,71
86,31,27,7,2,56
95,40,33,9,3,80
85,25,36,7,3,65
78,25,33,7,3,56
75,31,35,7,3,60
85,34,35,8,4,73
77,33,29,7,2,64
91,40,36,9,4,81
87,33,33,8,3,69
83,32,26,7,4,70
80,29,36,6,3,54
84,31,31,7,3,58
90,39,40,10,3,88
92,34,39,8,3,74
75,31,24,8,2,55
100,36,39,7,4,85
80,31,31,9,2,59
76,33,30,7,3,59
97,38,33,7,3,79
95,40,36,7,3,84
92,35,40,9,3,85
80,34,28,8,4,60
94,29,30,7,3,64
84,33,31,8,3,67
74,31,32,6,2,51
80,28,32,8,2,61
75,34,30,9,3,71
92,36,37,9,3,77
94,33,35,7,4,70
77,33,31,8,3,62
84,39,31,8,3,76
88,29,38,8,3,63
76,33,37,8,3,73
93,38,23,8,3,65
77,25,30,7,4,58
74,29,33,7,3,57
78,26,27,7,2,48
82,36,38,8,3,77
78,36,27,8,3,51
95,37,34,8,2,63
85,39,40,10,3,75
74,25,31,6,3,58
88,38,31,7,3,78
74,21,31,6,3,44
97,36,30,8,3,71
75,31,26,7,2,58
81,35,35,8,3,73
87,31,34,8,4,66
79,30,28,6,3,60
77,33,32,6,3,65
87,28,32,6,3,66
73,33,29,7,3,61
93,37,40,9,3,76
75,35,31,7,3,67
75,29,34,7,2,53
84,35,35,7,3,67
67,31,30,6,3,50
85,34,30,7,3,57
79,28,33,6,2,60
88,32,32,7,3,68
84,40,36,9,4,74
92,33,34,8,3,66
78,33,35,8,3,69
91,40,36,8,2,73
85,37,40,9,3,71
81,33,34,8,3,66
87,32,31,6,4,65
79,33,24,7,2,53
80,26,32,7,3,56
81,33,33,9,3,62
86,27,36,7,2,69
84,36,33,7,3,71
68,27,29,6,2,45
96,34,37,8,3,80
99,30,40,9,4,80
80,30,29,8,3,57
92,36,28,7,3,67
89,26,34,6,2,56
82,31,34,8,3,69
83,34,40,9,2,69
94,32,34,6,3,74
72,30,32,7,3,55
92,36,34,7,4,73
95,36,34,8,3,83
80,29,35,8,3,66
97,33,40,9,3,88
91,32,29,7,2,52
94,35,31,7,4,75
84,32,31,8,3,57
77,27,30,7,2,49
82,33,31,7,3,57
67,18,32,5,1,35
78,24,28,7,3,46
90,32,33,9,2,65
78,27,33,7,3,62
88,36,33,8,3,73
100,24,38,8,4,73
81,29,30,8,2,55
88,33,39,8,3,78
73,33,31,7,3,66
93,36,36,8,4,72
92,37,35,7,4,69
80,31,29,7,3,59
77,33,29,7,2,49
81,40,27,8,3,66
75,35,28,8,2,58
89,40,31,9,3,78
93,37,35,9,3,76
86,32,31,7,3,63
71,34,20,6,2,42
98,31,38,7,3,78
89,30,39,7,3,78
87,35,40,9,3,89
72,23,33,6,4,58
84,37,34,9,3,71
85,31,29,8,3,61
86,38,31,9,2,72
90,25,40,8,3,69
78,37,33,8,3,75
81,31,34,7,3,65
79,29,34,8,2,56
83,36,30,9,2,55
70,21,37,6,2,49
93,30,31,7,3,66
89,36,38,10,3,80
91,35,32,8,3,69
84,33,36,8,3,69
87,30,40,8,3,78
81,22,40,8,3,62
98,36,27,6,3,56
75,21,30,6,3,51
74,25,27,7,3,46
84,34,33,7,3,67
86,31,36,8,3,77
100,39,40,8,3,78
93,40,36,9,3,81
89,31,28,7,3,58
78,34,33,8,3,69
77,25,27,5,2,44
77,29,34,7,3,61
91,30,36,8,4,66
92,34,30,7,3,66
92,30,40,7,3,77
77,32,33,7,3,62
74,25,29,5,2,43
86,33,34,9,2,62
89,34,29,8,3,68
87,33,33,6,3,59
91,28,34,8,3,69
92,40,36,8,2,74
95,36,28,8,4,71
91,37,35,9,2,79
72,33,34,8,3,60
80,29,23,5,3,48
83,32,30,9,3,65
100,36,40,10,3,80
79,33,26,7,3,55
82,29,40,7,3,67
83,35,32,9,2,62
91,32,39,7,3,70
82,34,32,9,3,61
87,31,28,8,3,63
74,31,28,6,2,44
86,34,33,7,3,67
94,36,35,8,2,68
90,35,30,7,3,63
83,37,33,7,4,72
92,33,32,6,2,66
92,34,29,6,3,66
88,31,31,8,3,65
90,34,35,8,2,65
93,36,38,8,3,87
79,31,27,8,3,62
80,35,33,8,3,69
90,35,33,8,3,70
99,27,40,7,3,81
84,34,30,7,4,65
77,34,31,7,2,51
95,38,39,7,3,77
82,35,34,8,3,72
82,26,33,7,3,59
66,22,27,6,3,43
84,37,29,8,3,70
90,33,31,8,3,67
77,27,37,8,2,66
92,31,30,7,3,60
77,40,26,8,3,61
80,29,32,6,4,53
77,26,23,6,3,47
78,33,29,7,2,59
73,30,33,7,1,49
82,33,29,7,2,58
81,24,33,7,2,54
82,28,25,7,3,52
86,40,35,9,3,81
71,30,26,6,3,57
88,23,30,7,3,57
89,29,33,6,3,64
83,33,28,7,2,56
89,34,40,7,3,76
84,35,33,9,3,69
99,36,40,10,3,73
93,33,35,8,3,71
91,30,36,7,3,72
74,27,27,5,3,40
85,37,27,8,3,62
90,38,31,8,2,65
92,36,28,8,3,73
84,24,32,8,2,50
100,37,40,9,3,87
88,32,32,8,3,59
80,29,34,8,3,61
80,30,37,8,3,72
89,34,37,9,4,77
91,31,36,9,3,74
90,33,37,8,3,72
84,38,39,8,3,87
94,34,40,8,3,80
73,27,29,7,2,52
80,29,28,7,3,52
86,35,30,9,4,75
92,31,35,7,3,70
89,36,40,8,3,78
77,28,34,8,3,64
94,34,34,8,4,75
97,39,37,9,4,87
99,40,33,9,3,87
88,33,40,8,3,76
100,38,36,9,3,85
90,29,40,8,2,80
88,32,29,8,3,69
86,36,37,7,2,62
79,34,28,7,3,62
83,31,29,8,2,53
86,34,30,8,3,54
82,36,30,9,2,64
85,34,27,7,2,58
67,30,26,7,2,53
93,34,38,7,3,72
71,32,25,7,3,53
87,34,38,9,3,82
86,32,26,8,4,60
84,32,26,7,3,56
80,36,31,7,2,62
92,32,33,8,3,67
89,37,31,8,4,66
91,38,35,9,3,85
80,29,26,7,2,60
94,40,34,7,2,74
77,35,30,8,1,60
87,30,27,7,4,55
76,27,31,7,2,61
91,34,37,8,3,78
77,29,35,8,3,57
94,37,28,9,3,67
71,30,30,7,3,54
75,29,33,8,3,61
83,37,33,8,2,67
86,34,37,9,3,81
96,40,38,9,4,90
86,32,24,6,2,59
90,38,39,9,4,85
77,40,29,8,3,75
82,29,28,7,2,52
78,32,29,7,2,61
83,34,28,7,3,70
86,28,36,8,3,69
79,31,29,7,3,60
89,39,38,9,3,78
90,31,28,7,3,62
69,27,30,8,2,45
74,31,33,8,2,53
78,29,26,7,2,53
80,26,24,5,3,47
85,31,35,8,3,61
86,29,19,5,3,47
76,21,34,6,2,54
82,29,32,7,3,61
79,28,31,7,2,61
93,29,36,7,3,61
83,35,32,9,3,69
79,31,31,6,3,63
90,40,38,10,3,88
80,33,30,8,2,61
71,32,30,8,2,54
82,32,29,8,3,65
79,29,28,7,3,57
75,25,29,7,3,51
87,32,37,8,3,65
86,32,30,7,3,60
86,36,36,8,3,76
100,39,40,8,3,85
81,35,33,8,3,76
66,27,32,6,2,41
80,33,32,6,2,59
80,30,30,6,3,55
88,33,37,7,3,68
92,32,31,7,3,70
86,32,29,7,3,63
68,31,21,6,2,38
81,26,22,6,3,55
83,38,29,8,3,72
74,27,27,6,3,49
91,31,35,8,3,64
81,27,22,5,2,40
77,29,31,8,3,68
84,38,26,7,3,71
77,32,25,7,3,47
85,28,33,7,3,62
91,31,35,8,3,69
83,31,39,7,3,70
76,30,30,7,3,50
74,32,24,8,2,56
86,40,35,9,2,80
78,28,35,8,2,50
82,34,36,8,3,63
78,31,32,7,3,55
81,36,40,9,2,70
93,38,37,9,4,89
79,28,34,7,3,54
84,26,24,6,2,40
76,33,26,7,2,53
81,27,37,8,2,48
82,31,39,8,3,73
82,35,36,9,3,76
83,28,33,6,2,55
76,29,29,7,3,52
82,30,31,7,2,60
96,40,36,9,3,89
78,30,33,7,3,62
91,30,33,8,4,74
100,37,40,8,3,92
83,29,35,7,2,64
96,40,35,8,2,79
75,23,27,6,2,48
95,31,39,8,3,77
87,38,29,7,2,72
95,36,28,6,2,63
78,31,33,7,2,67
86,39,39,9,3,78
76,36,29,7,3,58
82,36,28,6,3,58
71,24,21,6,2,41
84,31,35,8,3,66
78,33,24,7,2,47
79,37,29,9,2,69
92,31,31,7,2,70
66,23,29,7,2,47
77,33,27,7,4,70
77,27,24,6,2,48
88,29,27,7,3,59
94,36,28,8,4,69
83,32,32,7,4,61
81,30,35,7,2,60
94,30,32,7,3,65
88,28,36,7,3,62
85,32,35,7,2,61
94,38,36,9,3,74
86,30,30,7,3,61
80,36,30,7,3,61
95,40,34,9,4,76
88,35,33,7,3,63
80,25,29,5,3,51
77,29,32,7,3,56
84,39,37,7,4,82
87,29,32,6,2,56
83,34,34,8,3,72
81,26,37,7,3,57
85,34,34,8,3,61
99,40,40,10,3,88
88,31,36,8,2,70
89,30,31,8,2,61
84,31,34,7,2,71
88,33,36,7,3,81
85,31,32,8,3,62
91,40,31,8,3,71
84,32,32,8,3,67
90,34,35,8,3,66
86,28,31,8,2,58
91,31,31,6,4,62
75,29,35,7,3,55
82,25,36,7,3,62
100,40,34,7,3,85
99,39,39,8,3,88
100,38,32,8,3,69
89,36,35,7,3,69
83,28,30,7,3,57
92,35,34,9,3,80
81,25,36,7,3,50
93,34,40,9,3,86
